Date,County Name,Partially Vaccinated,Fully Vaccinated,First Booster Dose,Second Booster Dose
10/24/2021,Schuylkill,36,19,130,
12/09/2021,Adams,117,90,218,
05/23/2022,Crawford,7,11,12,43
07/30/2021,Allegheny,864,629,,
01/26/2021,Cumberland,681,292,,
06/28/2022,Mifflin,2,5,5,16
12/24/2020,Bedford,16,,,
04/22/2022,Union,2,2,4,26
12/24/2020,Blair,5,,,
12/24/2020,Bradford,3,,,
12/03/2021,Cambria,208,147,519,
02/04/2021,Clearfield,291,30,,
12/24/2020,Cambria,114,,,
12/24/2020,Cameron,1,,,
12/24/2020,Carbon,63,,,
12/24/2020,Centre,12,,,
12/24/2020,Clarion,11,,,
12/24/2020,Clearfield,34,,,
12/24/2020,Clinton,3,,,
12/24/2020,Columbia,42,,,
12/24/2020,Crawford,6,,,
12/24/2020,Cumberland,44,,,
12/24/2020,Dauphin,81,,,
11/11/2021,Bedford,33,18,132,
12/24/2020,Elk,2,,,
03/06/2021,Lebanon,485,402,,
12/24/2020,Fayette,26,,,
12/24/2020,Forest,3,,,
05/09/2021,York,98,388,,
12/24/2020,Fulton,4,,,
12/24/2020,Greene,1,,,
12/24/2020,Indiana,55,,,
12/24/2020,Jefferson,20,,,
12/24/2020,Juniata,7,,,
06/01/2021,Lackawanna,279,500,,
12/24/2020,Lancaster,262,,,
12/24/2020,Lawrence,12,,,
12/24/2020,Lebanon,81,,,
04/14/2022,Mercer,6,18,36,90
12/24/2020,Luzerne,97,,,
12/24/2020,Lycoming,6,,,
12/24/2020,Mckean,65,,,
12/24/2020,Mercer,44,,,
12/24/2020,Mifflin,19,,,
04/20/2021,Philadelphia,8806,5725,,
03/11/2021,Berks,1727,1058,,
10/24/2021,Perry,10,9,59,
12/24/2020,Northumberland,35,,,
12/24/2020,Perry,4,,,
08/12/2021,Adams,63,52,,
12/24/2020,Pike,7,,,
12/24/2020,Schuylkill,186,,,
12/24/2020,Snyder,10,,,
12/24/2020,Susquehanna,30,,,
12/24/2020,Tioga,2,,,
12/24/2020,Union,18,,,
12/24/2020,Venango,6,,,
12/24/2020,Warren,58,,,
04/29/2021,Dauphin,1719,1160,,
12/24/2020,Wayne,10,,,
12/24/2020,York,193,,,
02/16/2021,Washington,672,375,,
12/25/2020,Adams,1,,,
12/25/2020,Allegheny,5,,,
12/25/2020,Beaver,1,,,
12/25/2020,Clearfield,1,,,
12/25/2020,Cumberland,2,,,
12/25/2020,Dauphin,1,,,
07/01/2021,Wyoming,11,37,,
12/25/2020,Fulton,1,,,
12/25/2020,Lackawanna,3,,,
12/25/2020,Lebanon,2,,,
12/25/2020,Lehigh,3,,,
08/17/2021,Bucks,626,570,286,
12/25/2020,Tioga,1,,,
12/25/2020,Westmoreland,2,,,
12/25/2020,York,3,,,
12/25/2020,Out-of-State,12,,,
12/26/2020,Adams,13,,,
05/10/2022,Franklin,13,19,19,130
12/26/2020,Armstrong,15,,,
12/26/2020,Beaver,12,,,
12/26/2020,Bedford,7,,,
07/27/2021,Allegheny,904,593,,
12/26/2020,Blair,73,,,
10/19/2021,Cumberland,174,115,336,
12/26/2020,Butler,23,,,
12/26/2020,Cambria,10,,,
